60746,"National level workshop on ""Computer Vision""",06-Feb-15,
60746,"National level workshop on ""Video Analysis for Computer Vision""",12-Mar-16,
60746,"National level Short Course on ""Five- Day Short Term Training Programme on Software Engineering""",16-Dec-19,20-Dec-19
33904,"International level conference on ""International Conference on Advanced Computing ICoAC 15""",13-Dec-15,15-Dec-15
66493,"International level conference on ""International Educators Meet""",24-Jan-16,27-Jun-16
66493,"International level conference on ""Exhibition on Education, Science, Technology and Innovation 2016""",24-Jan-16,26-Sep-16
66493,"International level conference on ""International Educators Meet""",25-Jan-16,27-Jan-16
66493,"International level conference on ""ICRTIT 2016""",08-Apr-16,09-Apr-16
66493,"International level workshop on ""Workshop on Grant Writing, Funding and Implementation""",27-Apr-16,
60781,"National level workshop on ""Three Day Workshop on Big Data Tools""",11-Jun-15,13-Jun-15
60781,"National level workshop on ""Three Day Workshop on Hands-on Training Programme on Big Data Analytics""",30-Oct-15,01-Nov-15
60781,"National level workshop on ""Hands-on Training Programme on Artificial Neural Networks and Fuzzy Logic""",29-Jan-16,31-Jan-16
60781,"International level conference on ""International Conference On Recent Trends In Information Technology""",08-Apr-16,09-Apr-16
60781,"National level Short Course on ""FDP on Data Warehousing and Data Mining""",27-May-17,02-Jun-17
67417,"International level conference on ""Recent Trends in Information Technology ICRTIT 2016""",08-Apr-16,09-Apr-16
67417,"National level Short Course on ""FDTP on Computer Networks""",19-Jun-18,25-Jun-18
63121,"National level workshop on ""Worshop on Big Data Tools""",11-Jun-15,13-Jun-15
63121,"National level workshop on ""Hands-on Training Programme on Big Data Analytics""",30-Oct-15,01-Nov-15
63121,"National level workshop on ""Hands-on Training Programme on Artificial Neural Networks and Fuzzy Logic using MATLAB""",29-Jan-16,31-Jan-16
63121,"International level conference on ""International Conference on Recent Trends in Information Technology (ICRTIT)""",08-Apr-16,09-Apr-16
63121,"National level Short Course on ""FDTP on Data Warehousing and Data Mining""",27-May-17,02-Jun-18
67046,"International level workshop on ""DST-PURSE SPONSORED ONE DAY WORKSHOP on INTERNET OF THINGS (IoT)""",04-Nov-16,
67046,"National level Short Course on ""FACULTY DEVELOPMENT TRAINING PROGRAMME ON SOFTWARE ENGINEERING""",09-Nov-18,20-Dec-18
67046,"International level Short Course on ""STTP on SOFTWARE ENGINEERING""",16-Dec-19,20-Dec-19
67057,"International level conference on ""ICRTIT 2016""",08-Apr-16,09-Apr-16
67057,"National level Short Course on ""Seven days FDTP on CS6551 - Computer Networks""",19-Jun-18,25-Jun-18
67057,"National level Short Course on ""Two days FDTP on Research Trends in Data Analytics & Bio-inspired Computing""",31-Jan-20,01-Feb-20
67035,"International level conference on ""ICRTIT 2016""",08-Apr-16,09-Apr-16
67035,"International level Short Course on ""FDTP ON GRID AND CLOUD COMPUTING""",23-May-16,29-May-16
67035,"National level workshop on ""Workshop on Pedagogy""",28-Jun-19,28-Jun-19
67035,"National level Short Course on ""Two day Research Oriented FDTP on ""Contemporary Research aspects in Information Centric Networking""",14-Feb-20,15-Feb-20
67584,"National level workshop on ""PEDAGOGY""",26-Jun-19,26-Jun-19
